,種類,地区名,最寄駅,最寄駅からの距離（分）,取引価格（総額）,面積（㎡）,建築年
392,中古マンション等,東池袋,池袋,9,9700000,15,1984.0
393,中古マンション等,東池袋,池袋,4,28000000,20,2016.0
394,中古マンション等,東池袋,池袋,9,11000000,15,1984.0
395,中古マンション等,東池袋,池袋,10,62000000,50,2019.0
396,中古マンション等,東池袋,池袋,10,60000000,50,2006.0
397,中古マンション等,東池袋,池袋,10,62000000,50,2006.0
398,中古マンション等,東池袋,池袋,5,25000000,20,2006.0
399,中古マンション等,東池袋,池袋,11,28000000,20,2015.0
400,宅地(土地と建物),東池袋,大塚(東京),8,52000000,65,2001.0
401,中古マンション等,東池袋,大塚(東京),11,29000000,30,2003.0
402,中古マンション等,東池袋,大塚(東京),6,15000000,20,1992.0
403,中古マンション等,東池袋,大塚(東京),5,27000000,30,1990.0
404,中古マンション等,東池袋,大塚(東京),4,23000000,20,2002.0
405,中古マンション等,東池袋,大塚(東京),10,20000000,25,1999.0
406,中古マンション等,東池袋,大塚(東京),6,27000000,20,2014.0
407,中古マンション等,東池袋,大塚(東京),8,38000000,60,1991.0
408,中古マンション等,東池袋,大塚(東京),4,21000000,20,2002.0
409,宅地(土地と建物),東池袋,新大塚,5,63000000,85,1969.0
410,中古マンション等,東池袋,新大塚,2,34000000,40,1973.0
411,中古マンション等,東池袋,新大塚,2,37000000,40,1973.0
412,中古マンション等,東池袋,新大塚,2,34000000,40,1973.0
413,中古マンション等,東池袋,新大塚,2,37000000,45,1973.0
414,中古マンション等,東池袋,東池袋,1,160000000,90,2007.0
415,中古マンション等,東池袋,東池袋,1,72000000,55,2007.0
416,宅地(土地と建物),東池袋,東池袋,3,52000000,70,2012.0
417,中古マンション等,東池袋,東池袋,1,20000000,20,2004.0
418,中古マンション等,東池袋,東池袋,2,3600000,45,1989.0
419,中古マンション等,東池袋,東池袋,8,27000000,30,2008.0
420,中古マンション等,東池袋,東池袋,2,140000000,70,2011.0
421,宅地(土地と建物),東池袋,東池袋,8,660000000,350,1989.0
422,中古マンション等,東池袋,東池袋,1,82000000,65,2007.0
423,中古マンション等,東池袋,東池袋,1,77000000,55,2007.0
424,中古マンション等,東池袋,東池袋,8,53000000,55,2001.0
425,中古マンション等,東池袋,東池袋,1,21000000,20,2004.0
426,中古マンション等,東池袋,東池袋,2,95000000,70,2011.0
427,中古マンション等,東池袋,東池袋,1,30000000,50,1984.0
428,中古マンション等,東池袋,東池袋,1,23000000,20,2004.0
429,中古マンション等,東池袋,東池袋,8,26000000,30,2001.0
430,中古マンション等,東池袋,東池袋,2,91000000,65,2011.0
431,中古マンション等,東池袋,東池袋,1,27000000,20,2015.0
432,中古マンション等,南池袋,池袋,8,30000000,20,2016.0
433,中古マンション等,南池袋,池袋,6,28000000,25,1999.0
434,中古マンション等,南池袋,池袋,7,86000000,60,2015.0
435,中古マンション等,南池袋,池袋,6,50000000,30,1999.0
436,中古マンション等,南池袋,池袋,7,60000000,40,2015.0
437,中古マンション等,南池袋,池袋,9,19000000,20,1996.0
440,中古マンション等,南池袋,東池袋,3,25000000,20,2015.0
441,中古マンション等,南池袋,東池袋,4,23000000,25,2013.0
442,中古マンション等,南池袋,東池袋,3,23000000,20,2007.0
443,中古マンション等,南池袋,東池袋,5,27000000,40,1980.0
444,宅地(土地と建物),南池袋,東池袋,2,45000000,75,1983.0
445,中古マンション等,南池袋,東池袋,4,24000000,20,2013.0
446,中古マンション等,南池袋,目白,7,12000000,15,1987.0
447,宅地(土地と建物),南大塚,大塚(東京),9,180000000,270,1966.0
448,宅地(土地と建物),南大塚,大塚(東京),5,1200000000,240,1992.0
449,中古マンション等,南大塚,大塚(東京),6,24000000,20,2014.0
450,中古マンション等,南大塚,大塚(東京),7,23000000,20,2015.0
451,中古マンション等,南大塚,大塚(東京),3,66000000,55,2014.0
452,宅地(土地と建物),南大塚,大塚(東京),6,2300000000,400,2018.0
454,中古マンション等,南大塚,大塚(東京),7,20000000,20,2008.0
456,中古マンション等,南大塚,大塚(東京),7,8000000,10,1984.0
457,中古マンション等,南大塚,大塚(東京),7,55000000,55,1997.0
458,中古マンション等,南大塚,大塚(東京),6,23000000,20,2012.0
459,中古マンション等,南大塚,大塚(東京),7,23000000,20,2015.0
460,中古マンション等,南大塚,大塚(東京),3,65000000,50,2016.0
461,中古マンション等,南大塚,大塚(東京),5,72000000,70,2006.0
462,宅地(土地と建物),南大塚,大塚(東京),10,75000000,60,2021.0
463,中古マンション等,南大塚,大塚(東京),6,79000000,70,2007.0
464,中古マンション等,南大塚,大塚(東京),6,21000000,20,2003.0
465,中古マンション等,南大塚,大塚(東京),6,32000000,35,2014.0
466,中古マンション等,南大塚,大塚(東京),6,24000000,20,2014.0
467,中古マンション等,南大塚,大塚(東京),6,20000000,20,1999.0
468,中古マンション等,南大塚,大塚(東京),5,32000000,30,1988.0
469,中古マンション等,南大塚,大塚(東京),7,20000000,20,2015.0
470,宅地(土地と建物),南大塚,新大塚,11,59000000,50,2010.0
471,中古マンション等,南大塚,新大塚,6,72000000,65,2005.0
472,中古マンション等,南大塚,新大塚,2,23000000,20,2012.0
473,宅地(土地と建物),南大塚,新大塚,4,74000000,50,2013.0
474,中古マンション等,南大塚,新大塚,3,7000000,15,1987.0
475,中古マンション等,南大塚,新大塚,6,64000000,70,2005.0
476,宅地(土地と建物),南大塚,新大塚,5,62000000,60,2008.0
477,中古マンション等,南大塚,巣鴨,6,23000000,20,2012.0
478,中古マンション等,南大塚,巣鴨,6,22000000,20,2012.0
479,中古マンション等,南長崎,落合南長崎,3,19000000,20,1998.0
480,宅地(土地と建物),南長崎,落合南長崎,6,66000000,60,2021.0
481,宅地(土地と建物),南長崎,落合南長崎,5,140000000,130,2020.0
482,宅地(土地と建物),南長崎,落合南長崎,6,65000000,60,2021.0
483,中古マンション等,南長崎,落合南長崎,3,23000000,20,2005.0
484,中古マンション等,南長崎,落合南長崎,4,19000000,20,1998.0
486,宅地(土地と建物),南長崎,椎名町,9,57000000,70,2021.0
487,宅地(土地と建物),南長崎,椎名町,9,60000000,65,2008.0
488,宅地(土地と建物),南長崎,椎名町,4,350000000,155,2021.0
489,中古マンション等,南長崎,椎名町,5,11000000,15,1994.0
490,宅地(土地と建物),南長崎,椎名町,9,57000000,70,2021.0
491,宅地(土地と建物),南長崎,椎名町,9,65000000,50,2021.0
492,中古マンション等,南長崎,椎名町,6,8400000,15,1987.0
493,中古マンション等,南長崎,椎名町,2,18000000,20,2004.0
494,中古マンション等,南長崎,東長崎,3,56000000,60,1997.0
495,宅地(土地と建物),南長崎,東長崎,7,20000000,85,1980.0
496,中古マンション等,南長崎,東長崎,7,12000000,20,1989.0
498,中古マンション等,目白,椎名町,5,21000000,20,2004.0
499,中古マンション等,目白,椎名町,5,8000000,15,1986.0
501,宅地(土地と建物),目白,椎名町,5,45000000,50,2014.0
502,中古マンション等,目白,椎名町,4,21000000,20,2011.0
503,中古マンション等,目白,椎名町,6,25000000,20,2015.0
504,中古マンション等,目白,椎名町,6,17000000,20,1999.0
505,中古マンション等,目白,椎名町,4,21000000,20,2011.0
506,中古マンション等,目白,雑司が谷(東京メトロ),3,21000000,20,2002.0
507,中古マンション等,目白,雑司が谷(東京メトロ),3,21000000,20,2002.0
508,中古マンション等,目白,雑司が谷(東京メトロ),2,23000000,20,2000.0
509,中古マンション等,目白,目白,2,55000000,40,2007.0
510,中古マンション等,目白,目白,3,65000000,90,1989.0
513,中古マンション等,目白,目白,2,40000000,30,2007.0
514,中古マンション等,目白,目白,6,210000000,250,1988.0
515,中古マンション等,目白,目白,8,93000000,60,2006.0
516,中古マンション等,目白,目白,3,67000000,65,1989.0
517,中古マンション等,目白,目白,8,180000000,95,2006.0
518,中古マンション等,目白,目白,4,41000000,30,2003.0
519,中古マンション等,目白,目白,8,77000000,65,1998.0
520,中古マンション等,目白,目白,8,130000000,85,2006.0
521,宅地(土地と建物),池袋,池袋,9,74000000,65,2017.0
522,宅地(土地と建物),池袋,池袋,9,130000000,80,1980.0
524,中古マンション等,池袋,池袋,9,25000000,25,2007.0
525,中古マンション等,池袋,池袋,12,35000000,25,2016.0
526,中古マンション等,池袋,池袋,8,34000000,25,2007.0
527,中古マンション等,池袋,池袋,9,27000000,20,2012.0
528,中古マンション等,池袋,池袋,11,25000000,20,2011.0
529,宅地(土地と建物),池袋,池袋,8,35000000,50,2000.0
531,中古マンション等,池袋,池袋,8,12000000,15,1985.0
532,中古マンション等,池袋,池袋,8,60000000,65,1999.0
533,中古マンション等,池袋,池袋,9,20000000,20,2005.0
534,中古マンション等,池袋,池袋,8,30000000,30,1999.0
535,中古マンション等,池袋,池袋,14,11000000,15,1990.0
536,中古マンション等,池袋,要町,10,23000000,20,2010.0
537,中古マンション等,池袋,要町,8,8400000,15,1987.0
538,中古マンション等,池袋,要町,8,8500000,15,1987.0
539,中古マンション等,池袋,要町,0,25000000,30,2001.0
540,宅地(土地と建物),池袋,要町,7,89000000,70,2021.0
542,宅地(土地と建物),池袋,北池袋,12,340000000,110,2018.0
543,中古マンション等,池袋本町,池袋,15,25000000,20,2010.0
544,宅地(土地と建物),池袋本町,北池袋,11,35000000,35,1990.0
546,中古マンション等,池袋本町,北池袋,4,11000000,15,1989.0
547,中古マンション等,池袋本町,北池袋,10,23000000,20,2007.0
548,中古マンション等,池袋本町,北池袋,5,10000000,15,1988.0
549,中古マンション等,池袋本町,北池袋,10,21000000,20,2005.0
551,中古マンション等,池袋本町,北池袋,4,10000000,15,1989.0
552,中古マンション等,池袋本町,北池袋,10,18000000,20,2005.0
554,中古マンション等,池袋本町,下板橋,3,34000000,25,2020.0
555,中古マンション等,池袋本町,下板橋,3,34000000,25,2020.0
556,中古マンション等,池袋本町,下板橋,7,50000000,65,1997.0
557,中古マンション等,池袋本町,下板橋,3,34000000,25,2020.0
558,中古マンション等,池袋本町,下板橋,3,34000000,25,2020.0
562,宅地(土地と建物),要町,要町,5,60000000,45,2021.0
563,宅地(土地と建物),要町,千川,2,120000000,100,1959.0
564,宅地(土地と建物),要町,千川,2,92000000,145,1977.0
565,中古マンション等,要町,千川,3,18000000,20,1996.0
566,宅地(土地と建物),要町,千川,4,76000000,60,2021.0
567,宅地(土地と建物),要町,千川,5,80000000,60,2021.0
568,中古マンション等,上池袋,池袋,14,24000000,35,1988.0
569,中古マンション等,上池袋,池袋,12,22000000,20,2000.0
570,宅地(土地と建物),上池袋,池袋,11,96000000,85,2021.0
571,中古マンション等,上池袋,池袋,11,24000000,20,2003.0
572,中古マンション等,上池袋,板橋,6,65000000,70,2005.0
573,中古マンション等,上池袋,大塚(東京),12,20000000,20,2013.0
574,宅地(土地と建物),上池袋,大塚(東京),10,150000000,200,1980.0
576,宅地(土地と建物),上池袋,北池袋,10,90000000,85,2021.0
577,宅地(土地と建物),上池袋,北池袋,5,32000000,45,1973.0
578,中古マンション等,上池袋,北池袋,8,20000000,20,2012.0
579,中古マンション等,上池袋,北池袋,2,17000000,20,2008.0
580,中古マンション等,上池袋,北池袋,8,21000000,20,2007.0
581,中古マンション等,上池袋,北池袋,1,38000000,35,2002.0
583,宅地(土地と建物),上池袋,北池袋,4,70000000,85,1992.0
584,中古マンション等,上池袋,北池袋,7,24000000,20,2016.0
585,中古マンション等,上池袋,北池袋,2,21000000,20,2008.0
586,宅地(土地と建物),上池袋,北池袋,10,97000000,75,2021.0
587,宅地(土地と建物),上池袋,北池袋,7,260000000,170,2021.0
590,宅地(土地と建物),北大塚,大塚(東京),7,77000000,115,1964.0
591,中古マンション等,北大塚,大塚(東京),5,21000000,20,2010.0
592,中古マンション等,北大塚,大塚(東京),5,25000000,20,2011.0
593,中古マンション等,北大塚,大塚(東京),4,90000000,70,2012.0
594,中古マンション等,北大塚,大塚(東京),6,21000000,20,2003.0
595,中古マンション等,北大塚,大塚(東京),5,19000000,20,2001.0
596,中古マンション等,北大塚,大塚(東京),4,27000000,25,1998.0
597,中古マンション等,北大塚,大塚(東京),4,37000000,35,2003.0
598,中古マンション等,北大塚,大塚(東京),4,20000000,20,1998.0
599,中古マンション等,北大塚,大塚(東京),4,22000000,20,2005.0
600,中古マンション等,北大塚,大塚(東京),6,75000000,65,2017.0
601,宅地(土地と建物),北大塚,大塚(東京),5,44000000,60,1972.0
602,中古マンション等,北大塚,大塚(東京),9,25000000,20,2013.0
603,中古マンション等,北大塚,大塚(東京),5,20000000,20,2002.0
604,中古マンション等,北大塚,大塚(東京),5,25000000,20,2005.0
606,宅地(土地と建物),駒込,駒込,8,68000000,55,2001.0
607,中古マンション等,駒込,駒込,4,54000000,50,2000.0
608,中古マンション等,駒込,駒込,3,20000000,20,2010.0
609,中古マンション等,駒込,駒込,2,55000000,45,1997.0
611,中古マンション等,駒込,駒込,2,83000000,70,2013.0
612,中古マンション等,駒込,駒込,1,30000000,30,1985.0
613,中古マンション等,駒込,駒込,1,15000000,15,1985.0
614,中古マンション等,駒込,駒込,2,68000000,55,2013.0
615,中古マンション等,駒込,駒込,5,23000000,20,2013.0
616,中古マンション等,駒込,駒込,1,12000000,15,1985.0
617,中古マンション等,駒込,駒込,1,13000000,15,1985.0
618,中古マンション等,駒込,駒込,6,82000000,85,2003.0
619,宅地(土地と建物),駒込,駒込,7,66000000,45,2021.0
620,中古マンション等,駒込,駒込,5,17000000,20,1999.0
621,宅地(土地と建物),駒込,駒込,4,63000000,50,2021.0
622,中古マンション等,駒込,駒込,2,64000000,50,2013.0
623,中古マンション等,駒込,巣鴨,5,75000000,65,2012.0
624,中古マンション等,駒込,巣鴨,5,90000000,65,2010.0
625,中古マンション等,駒込,巣鴨,8,27000000,25,2002.0
626,中古マンション等,駒込,巣鴨,4,95000000,85,2008.0
629,宅地(土地と建物),巣鴨,巣鴨,4,330000000,145,1991.0
631,中古マンション等,巣鴨,巣鴨,6,19000000,20,1998.0
632,中古マンション等,巣鴨,巣鴨,6,19000000,20,1998.0
634,中古マンション等,巣鴨,巣鴨,2,29000000,20,2013.0
635,宅地(土地と建物),巣鴨,巣鴨,4,680000000,185,1990.0
637,中古マンション等,巣鴨,巣鴨,2,25000000,20,2012.0
638,中古マンション等,巣鴨,巣鴨,2,28000000,20,2013.0
639,中古マンション等,巣鴨,巣鴨,10,12000000,15,1990.0
640,中古マンション等,巣鴨,西巣鴨,4,62000000,65,2006.0
641,中古マンション等,巣鴨,西巣鴨,8,53000000,65,2005.0
642,宅地(土地と建物),巣鴨,西巣鴨,9,35000000,55,1999.0
643,中古マンション等,巣鴨,西巣鴨,6,22000000,20,2010.0
644,中古マンション等,巣鴨,西巣鴨,6,15000000,20,1993.0
645,中古マンション等,巣鴨,西巣鴨,4,56000000,70,2006.0
651,中古マンション等,千川,千川,7,11000000,15,1992.0
652,宅地(土地と建物),千川,千川,10,62000000,50,2021.0
654,宅地(土地と建物),千川,千川,11,76000000,135,1965.0
655,宅地(土地と建物),千川,千川,9,76000000,85,2021.0
656,中古マンション等,雑司が谷,護国寺,5,12000000,20,2003.0
657,宅地(土地と建物),雑司が谷,雑司が谷(東京メトロ),5,68000000,45,2021.0
658,中古マンション等,雑司が谷,雑司が谷(東京メトロ),3,45000000,50,2001.0
659,中古マンション等,雑司が谷,雑司が谷(東京メトロ),3,66000000,65,1997.0
660,宅地(土地と建物),雑司が谷,雑司が谷(東京メトロ),5,60000000,50,2021.0
661,中古マンション等,雑司が谷,目白,9,47000000,45,1986.0
662,宅地(土地と建物),高田,江戸川橋,13,97000000,50,2021.0
663,中古マンション等,高田,雑司が谷(東京メトロ),6,26000000,20,2014.0
665,中古マンション等,高田,高田馬場,5,17000000,25,1982.0
666,中古マンション等,高田,高田馬場,7,39000000,45,2002.0
667,中古マンション等,高田,早稲田(メトロ),14,20000000,20,2008.0
668,中古マンション等,高田,早稲田(メトロ),14,19000000,20,2008.0
669,宅地(土地と建物),高松,要町,4,86000000,115,1988.0
671,中古マンション等,高松,要町,6,62000000,50,2010.0
673,中古マンション等,高松,要町,6,57000000,50,2010.0
674,中古マンション等,高松,要町,4,13000000,15,1989.0
675,宅地(土地と建物),高松,要町,3,63000000,55,2021.0
676,中古マンション等,高松,千川,11,47000000,65,2001.0
677,宅地(土地と建物),千早,要町,5,92000000,95,2021.0
680,宅地(土地と建物),千早,要町,7,58000000,45,2021.0
681,中古マンション等,千早,要町,2,65000000,55,2004.0
682,中古マンション等,千早,千川,6,18000000,20,2003.0
683,宅地(土地と建物),千早,千川,4,90000000,155,1986.0
685,中古マンション等,長崎,椎名町,2,21000000,20,2009.0
686,中古マンション等,長崎,椎名町,6,13000000,15,1993.0
687,中古マンション等,長崎,椎名町,7,11000000,15,1987.0
688,宅地(土地と建物),長崎,千川,9,62000000,80,2020.0
690,宅地(土地と建物),長崎,東長崎,5,80000000,110,1985.0
691,宅地(土地と建物),長崎,東長崎,5,66000000,70,2021.0
692,宅地(土地と建物),長崎,東長崎,5,20000000,45,1976.0
693,中古マンション等,長崎,東長崎,2,32000000,65,1971.0
694,中古マンション等,長崎,東長崎,11,21000000,20,2015.0
695,宅地(土地と建物),西池袋,池袋,10,110000000,100,1985.0
696,宅地(土地と建物),西池袋,池袋,8,210000000,185,1987.0
698,中古マンション等,西池袋,池袋,6,37000000,35,2003.0
699,中古マンション等,西池袋,池袋,12,29000000,40,1991.0
700,中古マンション等,西池袋,池袋,11,23000000,20,2004.0
701,宅地(土地と建物),西池袋,池袋,6,390000000,430,1986.0
702,中古マンション等,西池袋,池袋,7,25000000,40,1978.0
703,中古マンション等,西池袋,池袋,6,32000000,25,2003.0
705,中古マンション等,西池袋,池袋,9,100000000,75,2015.0
706,宅地(土地と建物),西池袋,要町,1,140000000,360,1991.0
707,中古マンション等,西池袋,要町,9,26000000,20,2013.0
708,中古マンション等,西池袋,要町,9,25000000,20,2013.0
710,中古マンション等,西池袋,椎名町,2,31000000,30,2012.0
711,宅地(土地と建物),西巣鴨,大塚(東京),9,20000000,60,1951.0
712,宅地(土地と建物),西巣鴨,大塚(東京),9,59000000,105,1968.0
713,宅地(土地と建物),西巣鴨,西巣鴨,10,74000000,75,2018.0
714,宅地(土地と建物),西巣鴨,西巣鴨,5,50000000,40,2021.0
715,宅地(土地と建物),西巣鴨,西巣鴨,9,69000000,85,2010.0
716,中古マンション等,西巣鴨,西巣鴨,5,14000000,15,1991.0
717,中古マンション等,西巣鴨,西巣鴨,4,44000000,40,2009.0
718,中古マンション等,西巣鴨,西巣鴨,0,40000000,55,1985.0
719,中古マンション等,西巣鴨,西巣鴨,9,64000000,75,2004.0
720,中古マンション等,西巣鴨,西巣鴨,7,21000000,25,2010.0
721,中古マンション等,東池袋,池袋,9,22000000,20,2006.0
722,中古マンション等,東池袋,池袋,7,12000000,15,1981.0
723,中古マンション等,東池袋,池袋,11,20000000,40,1984.0
724,中古マンション等,東池袋,池袋,9,9400000,20,1974.0
725,中古マンション等,東池袋,池袋,8,21000000,20,2006.0
726,中古マンション等,東池袋,池袋,14,65000000,55,2008.0
727,中古マンション等,東池袋,池袋,7,11000000,15,1981.0
728,中古マンション等,東池袋,池袋,11,29000000,20,2015.0
729,中古マンション等,東池袋,池袋,5,27000000,20,2016.0
730,中古マンション等,東池袋,大塚(東京),8,14000000,20,1985.0
731,中古マンション等,東池袋,大塚(東京),10,21000000,25,1999.0
732,中古マンション等,東池袋,大塚(東京),6,20000000,20,2005.0
733,中古マンション等,東池袋,大塚(東京),11,20000000,15,2005.0
734,中古マンション等,東池袋,大塚(東京),8,25000000,25,1985.0
735,中古マンション等,東池袋,東池袋,2,40000000,45,1989.0
736,中古マンション等,東池袋,東池袋,2,80000000,50,2011.0
737,中古マンション等,東池袋,東池袋,1,110000000,80,2007.0
738,中古マンション等,東池袋,東池袋,2,24000000,20,2011.0
739,中古マンション等,東池袋,東池袋,1,23000000,25,2004.0
741,中古マンション等,東池袋,東池袋,2,160000000,85,2011.0
742,中古マンション等,南池袋,池袋,8,20000000,20,2001.0
743,中古マンション等,南池袋,池袋,7,88000000,60,2015.0
744,中古マンション等,南池袋,池袋,7,66000000,40,2015.0
745,中古マンション等,南池袋,池袋,7,55000000,40,2015.0
748,中古マンション等,南池袋,東池袋,3,25000000,20,2015.0
749,中古マンション等,南池袋,東池袋,3,23000000,20,2007.0
750,中古マンション等,南池袋,目白,7,11000000,15,1987.0
751,中古マンション等,南大塚,大塚(東京),6,22000000,20,2001.0
752,中古マンション等,南大塚,大塚(東京),6,27000000,20,2014.0
753,中古マンション等,南大塚,大塚(東京),3,71000000,55,2014.0
754,中古マンション等,南大塚,大塚(東京),6,26000000,20,2014.0
755,宅地(土地と建物),南大塚,大塚(東京),9,77000000,60,2021.0
756,中古マンション等,南大塚,大塚(東京),3,16000000,20,2012.0
757,中古マンション等,南大塚,大塚(東京),7,23000000,20,2015.0
758,中古マンション等,南大塚,大塚(東京),3,25000000,20,2012.0
760,宅地(土地と建物),南大塚,新大塚,5,73000000,50,2021.0
762,宅地(土地と建物),南大塚,新大塚,8,65000000,60,2001.0
764,中古マンション等,南大塚,巣鴨,6,22000000,20,2012.0
765,宅地(土地と建物),南長崎,落合南長崎,9,93000000,85,2021.0
766,宅地(土地と建物),南長崎,落合南長崎,7,43000000,55,2021.0
767,中古マンション等,南長崎,落合南長崎,4,12000000,25,1992.0
768,中古マンション等,南長崎,落合南長崎,3,24000000,20,2005.0
770,中古マンション等,南長崎,椎名町,2,20000000,20,2003.0
771,中古マンション等,南長崎,椎名町,8,18000000,20,2009.0
772,中古マンション等,南長崎,椎名町,8,13000000,15,1992.0
774,中古マンション等,南長崎,椎名町,6,10000000,15,1987.0
775,宅地(土地と建物),南長崎,東長崎,4,53000000,150,1980.0
777,中古マンション等,南長崎,東長崎,6,11000000,15,1987.0
779,中古マンション等,南長崎,東長崎,4,19000000,20,2014.0
780,中古マンション等,南長崎,東長崎,6,19000000,20,2011.0
781,中古マンション等,目白,椎名町,10,35000000,30,2010.0
783,中古マンション等,目白,椎名町,6,19000000,20,1999.0
784,中古マンション等,目白,椎名町,5,22000000,20,2004.0
785,中古マンション等,目白,椎名町,10,20000000,20,1998.0
786,中古マンション等,目白,雑司が谷(東京メトロ),5,51000000,50,2000.0
787,中古マンション等,目白,目白,9,69000000,70,1999.0
789,中古マンション等,目白,目白,8,150000000,70,2006.0
